Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,3/10/2025,POS DEBIT                OPENAI *CHATGPT SUBSCR    +14158799686 CA,-20,MISC_DEBIT, ,
DEBIT,3/10/2025,ORIG CO NAME:PAYPAL           CO ENTRY DESCR:INST XFER  SEC:WEB IND ID:HULU            ORIG ID:PAYPALSI77,-100.79,ACH_DEBIT, ,
DEBIT,3/10/2025,POS DEBIT                RUNWAY PRO PLAN           +17327341764 NY                                                                                                                                                                                                                                                                        5343,-35,MISC_DEBIT, ,
DEBIT,3/10/2025,POS DEBIT                APPLE.COM/BILL            866-712-7753 CA                                                                                                                                                                                                                                                                        5320,-3.26,MISC_DEBIT, ,
DEBIT,3/10/2025,POS DEBIT                APPLE.COM/BILL            866-712-7753 CA                                                                                                                                                                                                                                                                        5320,-6.53,MISC_DEBIT, ,
DEBIT,3/10/2025,POS DEBIT                APPLE.COM/BILL            866-712-7753 CA                                                                                                                                                                                                                                                                        5320,-3.26,MISC_DEBIT, ,
DEBIT,3/10/2025,POS DEBIT                AMAZON TIPS               AMZN.COM/BIL WA                                                                                                                                                                                                                                                                        8335,-10,MISC_DEBIT, ,
DEBIT,3/10/2025,POS DEBIT                AMAZON MKTPLACE PMTS      AMZN.COM/BIL WA                                                                                                                                                                                                                                                                        8335,-40.94,MISC_DEBIT, ,
CREDIT,3/10/2025,ATM CREDIT               00000000000               ISA980400000 00,1,MISC_CREDIT, ,
DEBIT,3/10/2025,POS DEBIT                AMAZON PRIME PMTS         888-802-3080 WA                                                                                                                                                                                                                                                                        8335,-1,MISC_DEBIT, ,
DEBIT,3/10/2025,POS DEBIT                UBER   *EATS              SAN FRANCISC CA                                                                                                                                                                                                                                                                        5320,-8.68,MISC_DEBIT, ,
DEBIT,3/10/2025,POS DEBIT                PRIME VIDEO TVOD          888-802-3080 WA                                                                                                                                                                                                                                                                        8335,-5.99,MISC_DEBIT, ,
DEBIT,3/10/2025,POS DEBIT                UBER   * EATS PENDING     SAN FRANCISC CA                                                                                                                                                                                                                                                                        5320,-30.45,MISC_DEBIT, ,
DEBIT,3/10/2025,POS DEBIT                UBER   * EATS PENDING     SAN FRANCISC CA                                                                                                                                                                                                                                                                        5320,-58.63,MISC_DEBIT, ,
DEBIT,3/10/2025,POS DEBIT                APPLE.COM/BILL            866-712-7753 CA                                                                                                                                                                                                                                                                        5320,-10.9,MISC_DEBIT, ,
DEBIT,3/10/2025,POS DEBIT                AMAZON.COM                AMZN.COM/BIL WA                                                                                                                                                                                                                                                                        8335,-238.13,MISC_DEBIT, ,
